Variable,3.000000 km,total,Beyond
P007008 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Some other race alone,8101,447921,439820
P007009 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Two or more races,78667,5015633,4936966
P007002 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:,2628040,246233426,243605386
P007003 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  White alone,1424285,194552547,193128262
P007017 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Two or more races,54716,2417868,2363152
P007001 : P7. Hispanic or Latino by Race [17] : Total population,3664969,285230516,281565547
P007006 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Asian alone,209046,10070664,9861618
P007007 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,5717,342801,337084
P007004 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Black or African American alone,883865,33712156,32828291
P007005 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  American Indian and Alaska Native alone,18359,2091704,2073345
P007015 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,669,36407,35738
P007013 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  American Indian and Alaska Native alone,9933,366617,356684
P007014 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Asian alone,1814,109853,108039
P007010 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:,1036929,38997090,37960161
P007011 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  White alone,428917,19869287,19440370
P007012 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Black or African American alone,14489,949257,934768
P007016 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Some other race alone,526391,15247801,14721410
