Variable,3.000000 km,total,Beyond
P007008 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Some other race alone,26383,447921,421538
P007009 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Two or more races,230971,5015633,4784662
P007002 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:,8033215,246233426,238200211
P007003 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  White alone,5158408,194552547,189394139
P007017 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Two or more races,158019,2417868,2259849
P007001 : P7. Hispanic or Latino by Race [17] : Total population,10795743,285230516,274434773
P007006 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Asian alone,675345,10070664,9395319
P007007 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,17871,342801,324930
P007004 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Black or African American alone,1875917,33712156,31836239
P007005 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  American Indian and Alaska Native alone,48320,2091704,2043384
P007015 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,1933,36407,34474
P007013 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  American Indian and Alaska Native alone,26688,366617,339929
P007014 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Asian alone,6474,109853,103379
P007010 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:,2762528,38997090,36234562
P007011 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  White alone,1180586,19869287,18688701
P007012 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Black or African American alone,42648,949257,906609
P007016 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Some other race alone,1346180,15247801,13901621
