Variable,3.000000 km,total,Beyond
P088007 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.50 to 1.74,11686,12093076,12081390
P088006 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.25 to 1.49,11129,12412783,12401654
P088005 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.00 to 1.24,10688,11610252,11599564
P088004 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  75 to .99,10033,10438181,10428148
P088003 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  50 to .74,8746,8955727,8946981
P088002 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  Under .50,13750,16324591,16310841
P088001 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total: Population for whom poverty status is determined,229867,277652014,277422147
P088009 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.85 to 1.99,5906,6997902,6991996
P088008 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.75 to 1.84,3918,5187973,5184055
P088010 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  2.00 and over,154011,193631529,193477518
