Variable,3.000000 km,total,Beyond
P037028 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  High school graduate (includes equivalency),179991,28396462,28216471
"P037030 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Some college, 1 or more years, no degree",62218,13298631,13236413
P037031 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Associate degree,37748,6555562,6517814
P037018 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Doctorate degree,6319,1210118,1203799
P037019 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:,632950,96363325,95730375
P037034 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Professional school degree,10294,1387679,1377385
P037035 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Doctorate degree,3614,557066,553452
"P037012 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Some college, less than 1 year",28881,5680596,5651715
"P037013 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Some college, 1 or more years, no degree",62808,12385843,12323035
"P037010 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  12th grade, no diploma",32757,3418385,3385628
P037011 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  High school graduate (includes equivalency),151731,24282375,24130644
P037016 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Master's degree,36199,5273443,5237244
P037017 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Professional school degree,13259,2263973,2250714
P037014 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Associate degree,29227,5120995,5091768
P037015 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Bachelor's degree,91613,14148039,14056426
P037032 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Bachelor's degree,88777,14480196,14391419
P037033 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Master's degree,40959,5560344,5519385
"P037027 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  12th grade, no diploma",34146,3457301,3423155
P037026 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  11th grade,20660,2754404,2733744
P037023 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  7th and 8th grade,28476,3403002,3374526
P037022 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  5th and 6th grade,21362,1809492,1788130
P037021 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Nursery to 4th grade,10793,779880,769087
P037020 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  No schooling completed,19911,1399481,1379570
P037009 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  11th grade,20297,2496141,2475844
P037008 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  10th grade,19555,2657600,2638045
P037025 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  10th grade,20975,2894401,2873426
P037024 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  9th grade,20160,2362810,2342650
P037005 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  5th and 6th grade,17631,1811565,1793934
P037004 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Nursery to 4th grade,7832,748307,740475
P037007 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  9th grade,18714,2254285,2235571
P037006 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  7th and 8th grade,24143,3054881,3030738
P037001 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total: Population 25 years and over,1208906,184499965,183291059
P037003 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  No schooling completed,14990,1330094,1315104
P037002 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:,575956,88136640,87560684
"P037029 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Some college, less than 1 year",32866,7266614,7233748
