Variable,3.000000 km,total,Beyond
P088007 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.50 to 1.74,48921,12093076,12044155
P088006 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.25 to 1.49,48643,12412783,12364140
P088005 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.00 to 1.24,46208,11610252,11564044
P088004 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  75 to .99,39220,10438181,10398961
P088003 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  50 to .74,36926,8955727,8918801
P088002 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  Under .50,75326,16324591,16249265
P088001 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total: Population for whom poverty status is determined,993935,277652014,276658079
P088009 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.85 to 1.99,27419,6997902,6970483
P088008 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  1.75 to 1.84,21279,5187973,5166694
P088010 : P88. Ratio of Income in 1999 to Poverty Level [10] : Total:  2.00 and over,649993,193631529,192981536
