Variable,3.000000 km,total,Beyond
P006003 : P6. Race [8] : Total:  Black or African American alone,203393,34661413,34458020
P006004 : P6. Race [8] : Total:  American Indian and Alaska Native alone,2932,2458321,2455389
P006002 : P6. Race [8] : Total:  White alone,739049,214421834,213682785
P006007 : P6. Race [8] : Total:  Some other race alone,41756,15695722,15653966
P006005 : P6. Race [8] : Total:  Asian alone,32242,10180517,10148275
P005001 : P5. Urban and Rural [7] : Total population,1042415,285230516,284188101
P005002 : P5. Urban and Rural [7] : Total:  Urban:,1036324,225953257,224916933
P005003 : P5. Urban and Rural [7] : Total:  Urban:  Inside urbanized areas,994388,195814547,194820159
P005004 : P5. Urban and Rural [7] : Total:  Urban:  Inside urban clusters,41936,30138710,30096774
P005005 : P5. Urban and Rural [7] : Total:  Rural:,6091,59277259,59271168
P005006 : P5. Urban and Rural [7] : Total:  Rural:  Farm,79,2993055,2992976
P005007 : P5. Urban and Rural [7] : Total:  Rural:  Nonfarm,6012,56284204,56278192
P006006 : P6. Race [8] : Total:  Native Hawaiian and Other Pacific Islander alone,494,379208,378714
P006001 : P6. Race [8] : Total population,1042415,285230516,284188101
P006008 : P6. Race [8] : Total:  Two or more races,22549,7433501,7410952
