Variable,3.000000 km,total,Beyond
P037028 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  High school graduate (includes equivalency),75345,28396462,28321117
"P037030 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Some college, 1 or more years, no degree",39037,13298631,13259594
P037031 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Associate degree,15609,6555562,6539953
P037018 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Doctorate degree,4002,1210118,1206116
P037019 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:,273638,96363325,96089687
P037034 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Professional school degree,3335,1387679,1384344
P037035 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Doctorate degree,2025,557066,555041
"P037012 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Some college, less than 1 year",14243,5680596,5666353
"P037013 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Some college, 1 or more years, no degree",34984,12385843,12350859
"P037010 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  12th grade, no diploma",12733,3418385,3405652
P037011 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  High school graduate (includes equivalency),65890,24282375,24216485
P037016 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Master's degree,12065,5273443,5261378
P037017 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Professional school degree,5322,2263973,2258651
P037014 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Associate degree,12541,5120995,5108454
P037015 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Bachelor's degree,35949,14148039,14112090
P037032 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Bachelor's degree,35941,14480196,14444255
P037033 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Master's degree,14888,5560344,5545456
"P037027 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  12th grade, no diploma",13581,3457301,3443720
P037026 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  11th grade,10725,2754404,2743679
P037023 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  7th and 8th grade,11014,3403002,3391988
P037022 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  5th and 6th grade,6256,1809492,1803236
P037021 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Nursery to 4th grade,2426,779880,777454
P037020 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  No schooling completed,4142,1399481,1395339
P037009 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  11th grade,8802,2496141,2487339
P037008 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  10th grade,9360,2657600,2648240
P037025 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  10th grade,10438,2894401,2883963
P037024 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  9th grade,8696,2362810,2354114
P037005 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  5th and 6th grade,6445,1811565,1805120
P037004 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  Nursery to 4th grade,2441,748307,745866
P037007 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  9th grade,8076,2254285,2246209
P037006 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  7th and 8th grade,9161,3054881,3045720
P037001 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total: Population 25 years and over,519957,184499965,183980008
P037003 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:  No schooling completed,4305,1330094,1325789
P037002 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Male:,246319,88136640,87890321
"P037029 : P37. Sex by Educational Attainment for the Population 25 Years and Over [35] : Total:  Female:  Some college, less than 1 year",20180,7266614,7246434
