Variable,3.000000 km,total,Beyond
P006003 : P6. Race [8] : Total:  Black or African American alone,294126,34661413,34367287
P006004 : P6. Race [8] : Total:  American Indian and Alaska Native alone,3289,2458321,2455032
P006002 : P6. Race [8] : Total:  White alone,470633,214421834,213951201
P006007 : P6. Race [8] : Total:  Some other race alone,30712,15695722,15665010
P006005 : P6. Race [8] : Total:  Asian alone,26848,10180517,10153669
P005001 : P5. Urban and Rural [7] : Total population,845626,285230516,284384890
P005002 : P5. Urban and Rural [7] : Total:  Urban:,840652,225953257,225112605
P005003 : P5. Urban and Rural [7] : Total:  Urban:  Inside urbanized areas,831896,195814547,194982651
P005004 : P5. Urban and Rural [7] : Total:  Urban:  Inside urban clusters,8756,30138710,30129954
P005005 : P5. Urban and Rural [7] : Total:  Rural:,4974,59277259,59272285
P005006 : P5. Urban and Rural [7] : Total:  Rural:  Farm,95,2993055,2992960
P005007 : P5. Urban and Rural [7] : Total:  Rural:  Nonfarm,4879,56284204,56279325
P006006 : P6. Race [8] : Total:  Native Hawaiian and Other Pacific Islander alone,548,379208,378660
P006001 : P6. Race [8] : Total population,845626,285230516,284384890
P006008 : P6. Race [8] : Total:  Two or more races,19470,7433501,7414031
