Variable,3.000000 km,total,Beyond
P007008 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Some other race alone,706,447921,447215
P007009 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Two or more races,11061,5015633,5004572
P007002 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:,512969,246233426,245720457
P007003 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  White alone,294833,194552547,194257714
P007017 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Two or more races,13999,2417868,2403869
P007001 : P7. Hispanic or Latino by Race [17] : Total population,859379,285230516,284371137
P007006 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Asian alone,25165,10070664,10045499
P007007 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,490,342801,342311
P007004 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  Black or African American alone,174391,33712156,33537765
P007005 : P7. Hispanic or Latino by Race [17] : Total:  Not Hispanic or Latino:  American Indian and Alaska Native alone,6323,2091704,2085381
P007015 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Native Hawaiian and Other Pacific Islander alone,75,36407,36332
P007013 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  American Indian and Alaska Native alone,2668,366617,363949
P007014 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Asian alone,231,109853,109622
P007010 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:,346410,38997090,38650680
P007011 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  White alone,188452,19869287,19680835
P007012 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Black or African American alone,2077,949257,947180
P007016 : P7. Hispanic or Latino by Race [17] : Total:  Hispanic or Latino:  Some other race alone,138908,15247801,15108893
