Variable,3.000000 km,total,Beyond
P006003 : P6. Race [8] : Total:  Black or African American alone,229095,34661413,34432318
P006004 : P6. Race [8] : Total:  American Indian and Alaska Native alone,26921,2458321,2431400
P006002 : P6. Race [8] : Total:  White alone,1172376,214421834,213249458
P006007 : P6. Race [8] : Total:  Some other race alone,740846,15695722,14954876
P006005 : P6. Race [8] : Total:  Asian alone,303604,10180517,9876913
P005001 : P5. Urban and Rural [7] : Total population,2620917,285230516,282609599
P005002 : P5. Urban and Rural [7] : Total:  Urban:,2620278,225953257,223332979
P005003 : P5. Urban and Rural [7] : Total:  Urban:  Inside urbanized areas,2597461,195814547,193217086
P005004 : P5. Urban and Rural [7] : Total:  Urban:  Inside urban clusters,22817,30138710,30115893
P005005 : P5. Urban and Rural [7] : Total:  Rural:,639,59277259,59276620
P005006 : P5. Urban and Rural [7] : Total:  Rural:  Farm,0,2993055,2993055
P005007 : P5. Urban and Rural [7] : Total:  Rural:  Nonfarm,639,56284204,56283565
P006006 : P6. Race [8] : Total:  Native Hawaiian and Other Pacific Islander alone,13270,379208,365938
P006001 : P6. Race [8] : Total population,2620917,285230516,282609599
P006008 : P6. Race [8] : Total:  Two or more races,134805,7433501,7298696
